requirement_id,source,requirement,implementation,evidence,gate
M05-04-R01,dossier:responsibility,"Own aggregate quality metric computation beneath PTM localization","strict M05-04 contracts and deterministic engine","contract and lifecycle tests",G1
M05-04-R02,dossier:output,"Emit only typed quality profile with metric provenance","PtmLocalizationQualityResult and metric provenance","72-case eval and result replay tests",G1
M05-04-R03,dossier:parent,"Support parent variant_peptide without emitting it","parent_target literal and emits_variant_peptide=false","canonical eval and schema tests",G1
M05-04-R04,dossier:boundary,"Do not claim KINOPHOS kinase ownership","all kinase authority/output flags false","authority eval and manifest",G1
M05-04-R05,dossier:boundary,"No generic all-omics fusion or treatment recommendation","closed false authority fields and limitations","recursive authority checks",G1
M05-04-R06,dossier:boundary,"Do not mutate or relabel upstream evidence","full embedded replay and immutable models","nonmutation cases",G1
M05-04-R07,dossier:boundary,"Do not erase disagreement","typed findings and quarantine precedence","threshold/disposition cases",G1
M05-04-R08,dossier:boundary,"Do not infer missing identity or consent","seven-control preflight and no inference flags","seven denial cases",G1
M05-04-R09,dossier:boundary,"Missing evidence never becomes a negative","nonnumeric observation states and abstention","missing evidence cases",G1
M05-04-R10,dossier:inputs,"Consume four governed input roles","four-role fact ledger and exact M05-03 inputs","role and ledger tests",G1
M05-04-R11,dossier:inputs,"Consume approved configuration","policy/configuration digest bindings","request closure tests",G1
M05-04-R12,dossier:inputs,"Consume identity and lineage","exact transitive identity digest binding","upstream replay cases",G1
M05-04-R13,dossier:inputs,"Consume provenance and consent","preflight plus seven control records","authorization and provenance cases",G1
M05-04-R14,dossier:inputs,"Consume quality support and intended use","exact result receipt and intended-use bindings","stale binding cases",G1
M05-04-R15,dossier:quality,"Validate identity and version","opaque namespaces and version-profile matching","contract and eval cases",G1
M05-04-R16,dossier:quality,"Validate units","unit-system version profile matching","unit mismatch quarantine",G1
M05-04-R17,dossier:quality,"Validate completeness","raw input completeness metric","metric math cases",G1
M05-04-R18,dossier:quality,"Validate assay support","proteome assay kind and reviewed support domain","unsupported assay abstention",G1
M05-04-R19,dossier:quality,"Validate parent-specific quality","sample context and cross-input metrics","32-metric closure",G1
M05-04-R20,dossier:uncertainty,"Expose seven uncertainty dimensions","seven explicit not-estimable estimates","uncertainty cases",G1
