module_id,requirement,authority,implementation,evidence,verification
GLIO-PROTEOGEN-M16-07,downstream typed export beneath KINOPHOS object consumer,5700-5740,src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export,docs/modules/GLIO-PROTEOGEN-M16-07.md,tests/evals/test_m16_07.py::test_m1607_evaluator_matrix_passes
GLIO-PROTEOGEN-M16-07,versioned immutable signed contract,5700-5740,src/glio_proteogen/contracts/m16_07/v1.py,release-evidence/m16_07/evaluation.json,tests/contract/test_m16_07_contract.py::test_signed_contract_requires_compatible_consumer_and_explicit_ownership
GLIO-PROTEOGEN-M16-07,protein_rna_discordance parent binding,5700-5740,src/glio_proteogen/contracts/m16_07/v1.py,docs/evidence/M16-07.md,tests/contract/test_m16_07_deep.py::test_request_field_and_upstream_binding_closure
GLIO-PROTEOGEN-M16-07,seven-control authorization preflight,5700-5740,src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export/engine.py,release-evidence/m16_07/evaluation.json,tests/modules/c16_kinophos_object_consumer/test_m16_07_engine.py::test_preflight_and_invalid_requests_fail_closed
GLIO-PROTEOGEN-M16-07,ownership compatibility closure,5700-5740,src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export/engine.py,release-evidence/m16_07/evaluation.json,tests/evals/test_m16_07.py::test_m1607_evaluator_matrix_passes
GLIO-PROTEOGEN-M16-07,support and OOD safe abstention,5700-5740,src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export/engine.py,release-evidence/m16_07/evaluation.json,tests/modules/c16_kinophos_object_consumer/test_m16_07_engine.py::test_unsupported_or_prohibited_boundary_abstains_without_contract
GLIO-PROTEOGEN-M16-07,seven uncertainty dimensions,5700-5740,src/glio_proteogen/contracts/m16_07/v1.py,release-evidence/m16_07/evaluation.json,tests/evals/test_m16_07.py::test_m1607_evaluator_matrix_passes
GLIO-PROTEOGEN-M16-07,complete evidence and provenance,5700-5740,src/glio_proteogen/contracts/m16_07/v1.py,docs/evidence/M16-07.md,tests/modules/c16_kinophos_object_consumer/test_m16_07_engine.py::test_supported_request_emits_signed_immutable_contract
GLIO-PROTEOGEN-M16-07,canonical digest and replay/tamper verification,5700-5740,src/glio_proteogen/contracts/m16_07/canonical.py;src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export/engine.py,release-evidence/m16_07/evaluation.json,tests/modules/c16_kinophos_object_consumer/test_m16_07_engine.py::test_service_public_operation_replay_and_tamper_are_deterministic
GLIO-PROTEOGEN-M16-07,strict API and CLI parity,5700-5740,src/glio_proteogen/adapters/m1607.py,docs/modules/GLIO-PROTEOGEN-M16-07.md,tests/integration/test_m1607_interfaces.py
GLIO-PROTEOGEN-M16-07,strict parse-once plugin token,5700-5740,src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export/plugin.py,docs/evidence/M16-07.md,tests/integration/test_m1607_interfaces.py::test_plugin_strict_parse_once_and_forged_capability_rejection
GLIO-PROTEOGEN-M16-07,prohibited scope boundary,5700-5740,src/glio_proteogen/modules/c16_kinophos_object_consumer/m16_07_downstream_typed_export/engine.py,docs/modules/GLIO-PROTEOGEN-M16-07.md,tests/evals/test_m16_07.py::test_m1607_evaluator_matrix_passes
GLIO-PROTEOGEN-M16-07,release evidence integrity,5700-5740,tools/verify_m1607_release.py,release-evidence/m16_07,tests/tooling/test_m1607_release.py
GLIO-PROTEOGEN-M16-07,branch-enabled scoped coverage >=95,5700-5740,tests/contract/test_m16_07_deep.py;tests/modules/c16_kinophos_object_consumer/test_m16_07_engine.py,release-evidence/m16_07/coverage.json,uv run pytest --cov-branch --cov-fail-under=95
