module_id,authority_sha256,authority_lines,requirement,implementation,evidence,verification
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Reviewer discrepancy and adjudication beneath proteotype,strict M19-06 contract identity operation parent ceiling and provisional ABI metadata,contract tests,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Preserve structured disagreement and reason codes,typed discrepancy entries reason codes evidence and findings,contract/runtime tests,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Require blinded assignment and critical dual review,unique assignments blinded reviewer tokens and critical two-reviewer invariant,adversarial contract matrix,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Support escalation and final resolution,closed lifecycle with explicit escalation summary and resolved decision closure,evaluator and runtime tests,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Maintain immutable contiguous audit history,sequence-contiguous hash-chained audit events and terminal state validation,replay/tamper tests,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Abstain on unresolved unsupported or not-evaluable inputs,typed abstention without adjudication record and human review escalation,evaluator adversarial cases,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Preserve support provenance uncertainty evidence and seven controls,canonical result includes control decisions provenance evidence support and uncertainty,runtime/evaluator tests,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Reject prohibited identity consent mutation kinase all-omics and treatment claims,explicit claims ceiling and no external content traversal,negative policy tests and plugin descriptor,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Provide strict versioned API CLI plugin and package surfaces,schemas FastAPI Typer plugin evaluator benchmark wheel sdist,interface/package evidence,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Bind Platform engineering S2 and G4 metadata,authority metadata repeated in contracts schema fixture docs and descriptor,identity assertions,pass
GLIO-PROTEOGEN-M19-06,0a6b200cbe073db13a4bcf315edc23ab97edfe6f500bc7ea2785f5e1c70da181,6736-6776,Make results replay-safe and tamper-evident,canonical request/result digests and replay verification,adversarial evaluator and release verifier,pass
